Title, Rating, Bechdel, IMDB, Genre
Skyfall , PG-13 , 3 , 7.8 , Action
Argo , R , 3 , 7.8 , Drama
Lincoln , PG-13 , 3 , 7.5 , Drama
Brave , PG , 3 , 7.2 , Animation
Arbitrage , R , 2 , 6.7 , Thriller
